Chemnitz2018,2018-08-05,2018-11-05,1103,15,78.79,36,4,261,-332.34199958929,-23.738714256378,-0.24648700754148,4.8323350704598,6930.0255102041,83.246774773586,7463.1043956044,86.389260881225
Chemnitz2018directrange,2018-08-26,2018-11-05,1028,12,93.45,40,9,261,-321.5186995861,-29.228972689645,-0.31802707815242,5.9232184523655,7797.8842975207,88.305630044299,8577.6727272727,92.615726133701
Pegida2014,2014-01-01,2016-12-31,1382,158,8.8,5,0,74,-221.50200119201,-1.4108407719237,-0.10749726945507,0.95652104337683,148.22215911396,12.174652320044,149.17230115956,12.213611307044
Fukushima2011,2011-01-01,2012-12-31,728,104,6.93,4,0,44,-312.86510056368,-2.979667624416,-0.30351210608578,1.1968723407723,77.776507936508,8.8190990433552,78.524358974359,8.8613971231606
Flüchtlinge2015,2015-01-01,2017-12-31,4662,36,129.5,109.5,14,322,-1154.0120003806,-32.055888899462,-0.26112793051759,3.0706579676037,6298.9166666667,79.365714679997,6478.8857142857,80.491525729643
Ceta2015,2016-12-15,2017-02-15,5,11,0.56,0,0,2,-0.02810001373291,-0.0031222237481011,-0.057011110915078,0.052383770152762,0.46913580246914,0.68493488921878,0.52777777777778,0.72648315725678
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0616517209099,226.04402366864,15.034760512514,229.57596153846,15.151764304478
TTIP2016,2016-05-28,2016-08-28,37,14,2.64,2.5,0,7,-9.446800063597,-0.67477143311407,-0.25939115795788,0.25782204304513,3.0867346938776,1.7569105537498,3.3241758241758,1.8232322463624
Urheberrecht2019directrange,2018-06-20,2019-04-15,819,45,19.05,14,1,82,-197.97910066077,-4.6041651316458,-0.2455491006486,1.0655407640324,306.04434829638,17.494123250291,313.33111849391,17.701161501266
TTIP2016,2013-12-21,2016-08-28,349,143,2.48,1,0,33,-92.615299935977,-0.65684609883671,-0.2149139708832,0.28510986550134,15.923142699059,3.9903812723923,16.036879432624,4.0046072757043
Hambacher2018,2018-07-05,2018-10-05,206,14,14.71,6.5,0,57,-89.844699873764,-6.4174785624117,-0.21582952551946,0.92946417295847,331.20408163265,18.199013204915,356.68131868132,18.886008542869
Hambacher2018directrange,2018-04-20,2018-10-05,202,25,8.42,2,0,57,-85.500499947288,-3.562520831137,-0.1498704977169,0.51178161374393,232.15972222222,15.23678844843,242.25362318841,15.564498809419
EheFürAlle2017,2017-03-30,2017-06-30,289,14,20.64,8.5,3,156,-29.703200138931,-2.1216571527808,-0.14417086927074,0.99864448923834,1443.943877551,37.999261539549,1555.0164835165,39.433697309744
EheFürAlle2017directrange,2017-06-26,2017-06-30,156,5,31.2,32,12,60,-11.750300015963,-2.3500600031926,-0.13979295811221,7.4800844511962,264.96,16.277591959501,331.2,18.198901065724
Netzwerkdurchsetzungsgesetz2017,2017-06-01,2017-09-01,4,14,0.29,0,0,2,-2.0207999725826,-0.14434285518447,-0.1124571415629,0.014275677399472,0.3469387755102,0.58901508937395,0.37362637362637,0.61124984550213
GeordneteRückführungGesetz2018,2019-03-07,2019-06-07,52,14,3.71,3.5,0,18,-9.67360014515,-0.69097143893928,-0.13206678729741,0.20082205261431,19.632653061224,4.4308749769345,21.142857142857,4.5981362684089
PolizeiaufgabengesetzBayern2018,2018-02-15,2018-05-15,32,14,2.46,1,0,14,-10.756899926579,-0.82745384050605,0.022045052397976,0.15716813980429,15.171597633136,3.895073508053,16.435897435897,4.0541210435676
PolizeiaufgabengesetzBayern2018directrange,2018-02-07,2018-05-15,33,15,2.36,1,0,14,-10.756899926579,-0.76834999475562,0.02047040579812,0.15247096397862,14.229591836735,3.7722131218603,15.324175824176,3.9146105584305
Atomausstieg2011,2011-02-28,2011-05-30,339,14,26.08,30,4,48,-155.33660007897,-11.948969236844,-0.39908455476931,6.8884723224366,194.5325443787,13.947492404683,210.74358974359,14.517010358321
Atomausstieg2011directrange,2011-03-11,2011-05-30,334,13,27.83,30,9,47,-154.7834000939,-12.898616674492,-0.4192775240464,8.2192457904105,163.47222222222,12.78562560934,178.33333333333,13.354150416007
Vorratsdatenspeicherung2015,2015-07-16,2015-10-16,26,14,1.86,1.5,0,12,-8.5417997990735,-0.61012855707668,-0.22853213882939,0.4161299456523,8.9795918367347,2.9965967090576,9.6703296703297,3.109715368057
Vorratsdatenspeicherung2015directrange,2015-09-06,2015-10-16,2,7,0.33,0,0,2,-0.28109999001026,-0.046849998335044,-0.023424999167522,0.089126559714795,0.55555555555556,0.74535599249993,0.66666666666667,0.81649658092773
Präimplantationsdiagnostik2011,2011-04-07,2011-07-07,3,14,0.23,0,0,3,-2.7664999365807,-0.21280768742928,-0.07093589580976,0.056148231330713,0.63905325443787,0.79940806503179,0.69230769230769,0.83205029433784
Präimplantationsdiagnostik2011directrange,2011-04-12,2011-07-07,3,13,0.23,0,0,3,-2.7664999365807,-0.21280768742928,-0.07093589580976,0.074441687344913,0.63905325443787,0.79940806503179,0.69230769230769,0.83205029433784Pegida2014,2014-01-01,2016-12-31,1382,158,8.8,5,0,74,-221.50200119201,-1.4108407719237,-0.10749726945507,0.95652104337683,148.22215911396,12.174652320044,149.17230115956,12.213611307044
