cdu,2019-01-01,2019-07-17,1691,1,1691,1691,1691,1691,-354.36990148851,-354.36990148851,-0.20956233086252,2.1552658076193,0,0,0,0
afd,2019-01-01,2019-07-17,1162,1,1162,1162,1162,1162,-385.7717008313,-385.7717008313,-0.33198941551747,1.4727876498771,0,0,0,0
linke,2019-01-01,2019-07-17,282,1,282,282,282,282,-69.682999671204,-69.682999671204,-0.24710283571349,0.35742350883419,0,0,0,0
0
cdu,2019-01-01,2019-07-17,1691,1,1691,1691,1691,1691,-354.36990148851,-354.36990148851,-0.20956233086252,2.143273593754,0,0,0,0
grüne,2019-01-01,2019-07-17,490,1,490,490,490,490,-85.53219979821,-85.53219979821,-0.17455550979227,0.62105503308069,0,0,0,0
fdp,2019-01-01,2019-07-17,357,1,357,357,357,357,-85.57229955506,-85.57229955506,-0.2396983180814,0.45248295267307,0,0,0,0
leyen,2019-01-01,2019-07-17,731,7,104.43,12,5,662,-85.098899839446,-12.156985691349,-0.2651802667738,0.53483032321862,51836.244897959,227.6757450805,60475.619047619,245.91791119725
leyen,2018-10-01,2019-07-17,783,10,78.3,14,5,662,-99.253199925995,-9.9253199925995,-0.27640722895768,0.44681065592418,37885.81,194.6427753604,42095.344444444,205.17150007846
Europa2019,2019-04-26,2019-05-26,849,31,27.39,24,3,108,-124.03650027933,-4.0011774283654,-0.13799005544638,9.5994581345847,400.81789802289,20.020437008789,414.17849462366,20.351375742776
Europa2019,2019-04-26,2019-05-26,849,31,27.39,24,3,108,-124.03650027933,-4.0011774283654,-0.13799005544638,9.5994581345847,400.81789802289,20.020437008789,414.17849462366,20.351375742776
Europa2019,2019-04-26,2019-05-26,849,31,27.39,24,3,108,-124.03650027933,-4.0011774283654,-0.13799005544638,9.5994581345847,400.81789802289,20.020437008789,414.17849462366,20.351375742776
total,2000-01-01,2019-07-17,604817,166,2573.69,840,0,22305,-119494.10584968,-508.48555680715,-0.13684213307715,70.63829787234,10791980.273717,3285.1149559363,10838099.847536,3292.1269488791
Hessen2013,2013-08-22,2013-09-22,82,32,2.56,1.5,0,17,-11.536199966678,-0.3605062489587,-0.19831854140741,1.5358324210373,10.80859375,3.2876425824594,11.157258064516,3.3402482040286
Europa2014,2014-04-25,2014-05-25,474,31,15.29,13,3,39,-82.835699800518,-2.6721193484038,-0.21139464314998,7.4406068749974,74.722164412071,8.6441983093906,77.212903225806,8.7870873004544
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
banane,2010-01-01,2019-07-17,49,10,4.9,4,1,12,0.23559975298122,0.023559975298122,0.011107578287677,0.0076216302304245,12.09,3.4770677301427,13.433333333333,3.6651512019743
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
Urheberrecht2019,2018-01-15,2019-04-15,1212,67,18.65,14,1,82,-263.06810019806,-4.0472015415085,-0.21796893324901,1.0615848823602,226.04402366864,15.034760512514,229.57596153846,15.151764304478
linke,2019-01-01,2019-07-17,282,1,282,282,282,282,-69.682999671204,-69.682999671204,-0.24710283571349,0.35742350883419,0,0,0,0


afd,2019-01-01,2019-07-17,1162,1,1162,1162,1162,1162,-385.7717008313,-385.7717008313,-0.33198941551747,1.4727876498771,0,0,0,0
grüne,2019-01-01,2019-07-17,490,1,490,490,490,490,-85.53219979821,-85.53219979821,-0.17455550979227,0.62105503308069,0,0,0,0
fdp,2019-01-01,2019-07-17,357,1,357,357,357,357,-85.57229955506,-85.57229955506,-0.2396983180814,0.45248295267307,0,0,0,0
afd,2019-01-01,2019-07-17,1162,1,1162,1162,1162,1162,-385.7717008313,-385.7717008313,-0.33198941551747,1.4727876498771,0,0,0,0
cdu,2019-01-01,2019-07-17,1691,1,1691,1691,1691,1691,-354.36990148851,-354.36990148851,-0.20956233086252,2.143273593754,0,0,0,0
spd,2019-01-01,2019-07-17,1959,1,1959,1959,1959,1959,-399.07109988906,-399.07109988906,-0.20371163853449,2.4829526730716,0,0,0,0
linke,2019-01-01,2019-07-17,282,1,282,282,282,282,-69.682999671204,-69.682999671204,-0.24710283571349,0.35742350883419,0,0,0,0
cdu,2019-01-01,2019-07-17,1691,1,1691,1691,1691,1691,-354.36990148851,-354.36990148851,-0.20956233086252,2.143273593754,0,0,0,0

